neighborhood,total_incidents,log_incidents,log_area,dist_to_downtown_km,log_population,total_population,lim_at_prevalence,unemployment_rate,n_addresses,concentration_ratio
Newtonbrook East,0,0.0,1.4072406163400561,15.187132439468634,9.638544967053836,15345.0,17.7,13.1,1,0.0
Bayview Woods-Steeles,0,0.0,1.4082858716278335,15.630729739439113,9.399720293137584,12085.0,11.9,13.4,0,0.0
Hillcrest Village,0,0.0,1.6855789313518907,16.44494742195267,9.70167731915831,16345.0,15.6,13.6,1,0.0
Alderwood,0,0.0,1.6051061248961074,14.209530384982935,9.441055188786711,12595.0,6.2,11.9,0,0.0
Long Branch,0,0.0,0.8162111998645154,14.242349645189075,9.337853692275143,11360.0,11.2,11.5,0,0.0
New Toronto,0,0.0,1.2480892825494656,12.17933994831113,9.336532397213942,11345.0,15.8,13.2,1,0.0
Stonegate-Queensway,0,0.0,2.072661407033553,10.019040818148067,10.152298850598916,25650.0,8.5,12.0,0,0.0
Kingsway South,0,0.0,0.9700842802712468,10.519187590061426,9.088737550216933,8855.0,4.3,8.3,0,0.0
Etobicoke West Mall,0,0.0,0.585788121916432,15.27256823679174,9.381348168869865,11865.0,11.0,14.2,0,0.0
Markland Wood,0,0.0,1.0831363446585032,15.78729125727156,9.24619002486988,10365.0,6.0,12.2,0,0.0
Eringate-Centennial-West Deane,0,0.0,2.1570581282209687,16.15104694768924,9.822819649468673,18450.0,5.6,12.8,1,0.0
Princess-Rosethorn,0,0.0,1.6431365854867408,13.300652744770652,9.320986892063246,11170.0,5.6,11.4,0,0.0
Edenbridge-Humber Valley,0,0.0,1.706862046706643,11.588833059278995,9.628392595589819,15190.0,8.2,12.1,0,0.0
Humber Heights-Westmount,0,0.0,1.0305897809184652,12.148656460600904,9.210840247017833,10005.0,10.2,12.9,0,0.0
Willowridge-Martingrove-Richview,0,0.0,1.7079170203915315,14.361468722758987,10.018823151216033,22445.0,9.5,14.3,0,0.0
Kingsview Village-The Westway,36,3.6109179126442243,1.6220298704963023,14.332528438463754,9.999024979245192,22005.0,14.7,18.1,1,1.0
Elms-Old Rexdale,0,0.0,1.075369918398609,15.424227282398142,9.14366623870819,9355.0,12.4,18.5,0,0.0
Rexdale-Kipling,0,0.0,0.9185495925525629,16.77133098150758,9.247154345098899,10375.0,13.5,13.9,0,0.0
Thistletown-Beaumond Heights,26,3.295836866004329,1.2058366064922261,17.348492798635125,9.195226734166134,9850.0,11.8,16.6,1,1.0
Mount Olive-Silverstone-Jamestown,0,0.0,1.5341973491676233,19.496464500507994,10.352810043708068,31345.0,15.6,17.7,1,0.0
West Humber-Clairville,41,3.7376696182833684,3.4060303070750506,18.658772271832287,10.413312675968536,33300.0,8.7,14.3,2,1.0
Black Creek,18,2.9444389791664403,1.2394909768701652,16.63002562823263,9.959158749906589,21145.0,19.4,19.5,2,1.0
Pelmo Park-Humberlea,0,0.0,1.4530680967233918,13.748851504205089,9.331672657143708,11290.0,7.7,13.8,0,0.0
Humbermede,0,0.0,1.4865211614496394,16.27625641096085,9.73831805455974,16955.0,13.3,16.2,0,0.0
Humber Summit,0,0.0,2.0752971787425345,18.208086771752157,9.407960966059306,12185.0,12.2,17.4,0,0.0
